"CNTYBNA","FACTOR1","FACTOR2","FACTOR3","JA","CT89_91","POPU","HomiRate","LnHomiRate","xcoord","ycoord","poverty","public_assistance","female_headed","unemployment","new_residents","renter-occupied","no_high_school","crowded_households","black","latino"
"0316814",0.7253,-0.4632,0.8302,0.8985,17,4084,416.25857002938295,6.033706101646493,356885.8436379304,565851.0989948022,23.5761,47.6515,23.0244,9.1106,38.01,41.8006,41.5433,7.7974,98.2982,2.2691
"0316901",1.4263,-0.5875,-0.2927,0.8938,3,3160,94.9367088607595,4.563688691345008,359264.84663592157,567511.7167662705,46.8428,45.365,43.1481,12.0513,37.39,92.3077,44.1589,3.726,100,0
"0316902",1.2958,-1.301,-1.7218,0.8881,1,323,309.59752321981426,5.738497936503186,358671.18754944054,567632.992988132,84.589,32.5342,50.6849,3.6842,63.16,82.9787,24.4444,0,100,0
"0316903",0.8958,-0.6976,-0.4809,0.8726,7,2695,259.7402597402597,5.563524738399895,358552.93153312354,566646.1080604064,38.4392,35.2087,36.875,6.9583,48.39,78.2888,43.4676,2.9947,97.4592,5.1906
"0316904",0.7098,-0.813,0.2566,0.9707,3,4322,69.41230911614993,4.254368093280178,359283.49813004606,566711.3716980167,29.183,30.6262,25,9.0129,37.02,66.548,36.0803,3.3808,99.4618,0.8073
"0316905",0.2271,-0.8682,0.3603,0.8793,0,1049,0,0,359959.6030930807,566599.2606383383,14.5677,21.3346,8.0321,7.5824,38.4,63.5776,32.7586,5.1724,100,0.6579
"0316906",1.1546,-0.8123,0.3563,0.9688,0,424,0,0,361045.66190499195,566763.2189597876,45.7908,32.2704,51.8135,9.5969,31.62,55.2632,23.25,7.8947,98.852,0
"0316907",0.9718,0.3957,1.4761,0.9688,1,376,265.9574468085106,5.587089270449643,361402.50444468285,566048.9842501899,43.0657,55.2311,13.4831,11.1111,25.12,36.2832,43.75,23.0088,100,0
"0316908",0.9071,-0.5391,0.8677,0.9442,2,2115,94.56264775413712,4.559782029839946,360917.6741929061,565945.1206572718,33.3077,36.0385,17.7049,15.1768,28.41,57.8049,35.5775,7.0732,100,0
"0316909",0.6206,-0.8232,0.453,0.9807,1,5187,19.2789666473877,3.009584223153946,360114.9998366419,565931.5021290043,19.9562,31.2177,22.7858,9.2182,34.46,66.0162,38.3041,1.9039,98.846,1.8106
"0316910",0.1083,-1.0041,0.7775,0.9976,2,2915,68.61063464837049,4.242917352340141,359309.8438396849,565904.4734200981,8.9112,15.3432,12.1918,6.6958,31.97,51.9737,28.0983,3.6184,99.5329,1.2576
"0316911",1.2298,-0.4642,-0.294,0.8411,23,4079,563.8636920813925,6.336584449086979,358488.92715526203,565871.6292408858,41.6649,52.2811,37.7251,9.6982,44.04,79.1615,40.0433,9.5745,98.8541,0.6702
"0316912",0.8224,-0.5451,0.2969,0.9386,6,3016,198.9389920424403,5.298012280226137,358300.4819277308,565063.2997307405,29.1035,38.4311,31.1077,8.6732,38.65,60.7315,35.6553,9.9134,99.6704,0.6262
"0316913",0.0223,-1.2467999,0.7864,1.0642999,4,2062,193.98642095053347,5.272929919987924,359331.24557039345,565094.8164157334,13.9012,16.5192,9.9855,2.7586,28.48,51.6071,21.5834,0.9821,99.3732,1.1062
"0316914",0.2381,-0.894,1.3062,0.9665,4,4383,91.26169290440338,4.524629027239492,360136.35694657604,565124.8225733881,17.1393,19.852,10.4374,7.3568,23.02,43.0868,31.0752,2.3794,99.0382,0.5919
"0316915",1.0533,-0.3975,0.2815,0.8531,5,2531,197.55037534571315,5.291042848009686,360957.2592102615,565157.575107479,38.4051,40.4675,25.6785,14.0898,38.48,67.5545,43.0982,7.9903,97.4794,0.275
